file,start_time,end_time
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,0.0,1.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,1.2,2.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,2.4,3.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,3.6,4.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,4.8,6.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,6.0,7.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,7.2,8.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,8.4,9.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,9.6,10.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,10.8,12.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,12.0,13.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,13.2,14.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,14.4,15.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,15.6,16.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,16.8,18.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,18.0,19.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,19.2,20.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,20.4,21.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,21.6,22.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,22.8,24.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,24.0,25.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,25.2,26.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,26.4,27.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,27.6,28.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,28.8,30.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start11100s_end11183s.WAV,30.0,31.2
